date,timezone,currency,platform,campaign_id,channel,spend,impressions,clicks,platform_reported_acquisitions,platform_reported_revenue
2026-09-01,UTC,USD,meta_ads,1001,Meta Prospecting,300,30000,600,5,650
2026-09-01,UTC,USD,meta_ads,2002,Meta Retargeting,120,12000,240,6,1040
2026-09-01,UTC,USD,meta_ads,2003,Meta Awareness,60,6000,120,2,200
2026-09-02,UTC,USD,meta_ads,1001,Meta Prospecting,300,30000,600,5,650
2026-09-02,UTC,USD,meta_ads,2002,Meta Retargeting,120,12000,240,6,1040
2026-09-02,UTC,USD,meta_ads,2003,Meta Awareness,60,6000,120,2,200
2026-09-03,UTC,USD,meta_ads,1001,Meta Prospecting,300,30000,600,5,650
2026-09-03,UTC,USD,meta_ads,2002,Meta Retargeting,120,12000,240,6,1040
2026-09-03,UTC,USD,meta_ads,2003,Meta Awareness,60,6000,120,2,200
2026-09-04,UTC,USD,meta_ads,1001,Meta Prospecting,300,30000,600,5,650
2026-09-04,UTC,USD,meta_ads,2002,Meta Retargeting,120,12000,240,6,1040
2026-09-04,UTC,USD,meta_ads,2003,Meta Awareness,60,6000,120,2,200
2026-09-05,UTC,USD,meta_ads,1001,Meta Prospecting,300,30000,600,5,650
2026-09-05,UTC,USD,meta_ads,2002,Meta Retargeting,120,12000,240,6,1040
2026-09-05,UTC,USD,meta_ads,2003,Meta Awareness,60,6000,120,2,200
2026-09-06,UTC,USD,meta_ads,1001,Meta Prospecting,300,30000,600,5,650
2026-09-06,UTC,USD,meta_ads,2002,Meta Retargeting,120,12000,240,6,1040
2026-09-06,UTC,USD,meta_ads,2003,Meta Awareness,60,6000,120,2,200
2026-09-07,UTC,USD,meta_ads,1001,Meta Prospecting,300,30000,600,5,650
2026-09-07,UTC,USD,meta_ads,2002,Meta Retargeting,120,12000,240,6,1040
2026-09-07,UTC,USD,meta_ads,2003,Meta Awareness,60,6000,120,2,200
2026-09-08,UTC,USD,meta_ads,1001,Meta Prospecting,300,30000,600,5,650
2026-09-08,UTC,USD,meta_ads,2002,Meta Retargeting,120,12000,240,6,1040
2026-09-08,UTC,USD,meta_ads,2003,Meta Awareness,60,6000,120,2,200
2026-09-09,UTC,USD,meta_ads,1001,Meta Prospecting,300,30000,600,5,650
2026-09-09,UTC,USD,meta_ads,2002,Meta Retargeting,120,12000,240,6,1040
2026-09-09,UTC,USD,meta_ads,2003,Meta Awareness,60,6000,120,2,200
2026-09-10,UTC,USD,meta_ads,1001,Meta Prospecting,300,30000,600,5,650
2026-09-10,UTC,USD,meta_ads,2002,Meta Retargeting,120,12000,240,6,1040
2026-09-10,UTC,USD,meta_ads,2003,Meta Awareness,60,6000,120,2,200
2026-09-11,UTC,USD,meta_ads,1001,Meta Prospecting,300,30000,600,5,650
2026-09-11,UTC,USD,meta_ads,2002,Meta Retargeting,120,12000,240,6,1040
2026-09-11,UTC,USD,meta_ads,2003,Meta Awareness,60,6000,120,2,200
